"Day","Subject","Treat","Rep","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"d0","Sub5","MSPrebio","B",0.0716869045825865,0.00979890039609355,0.00215739917076361,0.000237280865248749,0.00056128843115248,0.00126817906277804,7.6011582778374e-05,0,0.00057277568078905,0.00399208037953481,0,0.000793346727583225,0,0.029059552453847
"d0","Sub5","MSPrebio","C",0.0744516100865285,0.00864529274225645,0.00171945979504425,0.000164613523162578,0.000512421064462865,0.00118329350942114,6.9310198462593e-05,0,0.00055004252221839,0.00356044403506084,0,0.000739638324188005,0,0.0266089326966847
"d1","Sub5","MSPrebio","A",0.735220357358955,0,0.0095057390296697,0.00071509353764444,0.000958895339331795,0.00209061232725987,0,0,0,0.00149911956394699,0,0.00061700643312754,0,0.00876179680500295
"d1","Sub5","MSPrebio","B",0.882803614544985,0,0.0101751836671821,0.00095372890722774,0.00120313253946822,0.00213114478333902,0,0,0,0.00130869967323756,0,0.00051207941706345,0,0.00936858611771905
"d1","Sub5","MSPrebio","C",0.938195056707725,0,0.0112531705233294,0.00093329085410561,0.00169898099941946,0.00248513565664684,0,0,0,0.00128009436557059,0,0.00073117504756918,0,0.00948220748348775
"d2","Sub5","MSPrebio","A",1.13520277035298,0,0.010444296103357,0.00086152355145113,0,0.001738186683584,0,0,6.5320733167345e-05,0.00165352653457473,0,0.00059521797095146,0,0.0100057090283283
"d2","Sub5","MSPrebio","B",1.39175426277028,0,0.011319637806936,0.000956166410939015,0,0.00214440447027139,0,0,3.57030250456347e-05,0.0015671297252147,0,0.000639265353629035,0,0.0115940375791948
"d2","Sub5","MSPrebio","C",0.762357519498035,0,0.00938860080188085,0.000901684151303055,0,0.0017367027808945,0,0,3.1878344076744e-05,0.00103472212898225,0,0.000559791789949215,0,0.00812141977029925
"d3","Sub5","MSPrebio","A",1.82191593133148,0,0.0119733920493681,0.000707648898172465,0.00112887272080936,0.00173152606915058,0,0,6.74046265869845e-05,0.00298233599431097,0,0.00078544259998089,0,0.01391672887579
"d3","Sub5","MSPrebio","B",1.77448412033655,0,0.0113737014396465,0.00078981843804075,0.00113381131635574,0.00170594645775639,0,0,6.0090570622382e-05,0.00200130368333708,0,0.00071868142075005,0,0.0129424634085177
"d3","Sub5","MSPrebio","C",1.1098872615379,0,0.0114898859701617,0.000762506630258345,0.000991815154685995,0.0016765711749572,0,0,5.7062350298269e-05,0.00170862584650808,0,0.000800720184241775,0,0.0111217933845251
"d0","NoSub","ctl-m","A",7.60519737835475e-05,0,0,0,0,1.45587886130888e-05,6.22721750908865e-06,0,0,2.73309183479441e-05,0,0,0,6.6937409696769e-05
"d0","NoSub","ctl-m","B",8.22729936517265e-06,0,0,0,0,0,0,0,0,1.28209690624868e-05,0,0,0,0
"d0","NoSub","ctl-m","C",4.1291998558417e-05,0,0,0,0,0,0,0,0,1.86224050388636e-05,0,0,0,0
"d1","NoSub","ctl-m","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d1","NoSub","ctl-m","B",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d1","NoSub","ctl-m","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d2","NoSub","ctl-m","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d2","NoSub","ctl-m","B",0,0,0,0,4.1276345102922e-06,0,0,0,0,0,0,0,0,0
"d2","NoSub","ctl-m","C",0,0,0,0,2.38569656452244e-06,0,0,0,0,0,0,0,0,0
"d3","NoSub","ctl-m","A",0,0,0,0,1.35634038929979e-06,0,0,0,0,0,0,0,0,0
"d3","NoSub","ctl-m","B",0,0,0,0,1.74148401162575e-06,4.25286047401622e-05,0,0,0,0,0,0,0,0
"d3","NoSub","ctl-m","C",0,0,0,0,1.00633563840886e-06,0,0,0,8.2351616638626e-06,0,0,0,0,0
"d0","NoSub","ctl-f","A",0.00127957095420759,0.0181345571294108,0.00172955146486938,8.4070046704688e-05,0,0,0,0,1.06641585312357e-05,2.01180649869027e-05,0,0.00439579310146601,0,0
"d0","NoSub","ctl-f","B",0.00138829542253849,0.0182571035063347,0.00171343833954269,0,0,0,0,0,0,2.92223761157985e-05,0,0.0052997619838247,0,2.8252257532924e-05
"d0","NoSub","ctl-f","C",0.00122017134877266,0.0163445299160304,0.00139367470072306,0,0.000103099257947755,0,0,0,0,0,0,0.00473568525763065,0,0.000107153758946822
"d1","NoSub","ctl-f","A",0.00159683242361181,0.0218406309984363,0.00181074270016071,5.973128855208e-05,0.000324561166260205,0,0,0,0,0,1.70454257418815e-05,0.0053379033846896,0,0.00054098255932579
"d1","NoSub","ctl-f","B",0.0014604071727416,0.0172628347289107,0.00152650792404154,0,8.80272245752675e-06,0,0,0,0,1.25082746589332e-05,0,0.00471313872248964,0,3.95348088759934e-05
"d1","NoSub","ctl-f","C",0.00132351532674114,0.01967351053163,0.00150617708366105,7.70798374605775e-05,1.63974694173235e-05,0,0,0,0,0,0,0.0057332240923476,0,3.98016268975525e-05
"d2","NoSub","ctl-f","A",0.00117630069810637,0.0155770633245061,0.00134056390144311,0,1.00269556750067e-05,3.13487357138477e-05,0,0,0,0,0,0.00446890784154721,0,0
"d2","NoSub","ctl-f","B",0.000959823191455775,0.012328904531221,0.00096020822711461,0.000144164903859303,2.97194904287735e-05,2.43858401796969e-05,0,0,0,0,0,0.00377710605581262,0,0
"d2","NoSub","ctl-f","C",0.00119026486582144,0.0154397845231052,0.00151600475193007,0.000159760681472307,1.11042132662087e-05,0,0,0,0,4.94167380252799e-05,0,0.005059220138195,0,0
