"Subject","Day","Rep","Treat","Control_batch","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"Sub2","d1","B","Ctl-S",2,0.053420551399998,0.0399177518233997,0,0.00633591984384545,0.0057568402554317,0.00401050361068695,0.0166287015369562,0.0012834231314825,0.000461138242372921,0,0,0.00440120821233003,0,0.00656386761582245
"Sub2","d1","C","Ctl-S",2,0.0263269260903415,0.0311662311179675,0,0.0067741118882544,0.0065370791231502,0.00374876711100737,0.0146591599162413,0,0.000174667072808065,0,0,0.00277417184521769,0,0.00382988959070665
"Sub2","d2","A","Ctl-S",2,0.0263989838737655,0.0341117556545394,0,0.0054478190490381,0.00484079974850317,0.00333460968149816,0.0176335102666331,0,0.000329162455680208,0,0,0.00394028464476451,0,0.00383867703655419
"Sub2","d2","B","Ctl-S",2,0.0334685542901016,0.0455298016599899,0,0.00961349416441505,0.00924376165495395,0.00431260614788095,0.0240268961829559,0,0.000388889738241668,0,0,0.0045642135270873,0,0.00531603137172315
"Sub2","d2","C","Ctl-S",2,0.0275302643219156,0.0346015712490444,0,0.0070480990529453,0.0068169485198318,0.00420939213683831,0.0221831636238533,0,0,0,0.000387679101035367,0.00209284021528911,0,0.0056275670845453
"Sub2","d3","A","Ctl-S",2,0.0277378727271136,0.0450189326152373,0,0.00660713066614475,0.0062675671073088,0.00400487737926224,0.0203271256314612,0,0.000329253199750785,0,0,0.0074674397251766,0,0.00333677781507989
"Sub2","d3","B","Ctl-S",2,0.0341502548225018,0.0476933255606988,0,0.0067255027127319,0.00663503546370095,0.00469585307613413,0.0219074207950261,0.000887493546265455,0.00054157543994226,0,0.00020896760048032,0.0069396849657533,0,0.00284817059032318
"Sub2","d3","C","Ctl-S",2,0.0246916187770463,0.0317074014123285,0,0.00875675588949985,0.00704204197686085,0.00368864178561949,0.0160892023099675,0,0.000237849665153939,0,0,0.00241000960413332,0,0.00424456831345717
"Sub3","d0","A","Ctl-S",2,0.0603843262853975,0.04705440541894,0,0.0195675474410322,0.0153433920883581,0.00441620312722205,0.0104352388167965,0,0.00166185317881291,0,0,0.0092602523871019,0,0.0104462112537439
"Sub3","d0","B","Ctl-S",2,0.0528492303666895,0.0524173632800475,0,0.0195854639015236,0.0175314045737509,0.00409532077320226,0.0103443515535704,0,0.001725026327241,0,0,0.0079583756910242,0,0.0115174602487474
"Sub3","d0","C","Ctl-S",2,0.063630222959463,0.050868234812432,0,0.0366669125421482,0.0332225649408713,0.00392076009148415,0.00980493486066735,0,0.00220390155768109,0,0.000361113169424406,0.00823275233040175,0,0.0112114896286931
"Sub3","d1","A","Ctl-S",2,0.0249852225269812,0.0372404067055397,0,0.0120883718169661,0.0116289078763266,0.00386440290960431,0.0096239570724681,0,0.000214891501054495,0,0.000676708215644865,0.00480995917537466,0,0.0071848947225431
"Sub3","d1","B","Ctl-S",2,0.0269993284805192,0.0355339628371096,0,0.0474789995348386,0.05142978599313,0.00306966482246146,0.0108912146803551,0,0.000434027236585967,0,0.000356140150281905,0.0050264537844736,0,0.00605119310921675
"Sub3","d1","C","Ctl-S",2,0.0262188425552017,0.0409548598934756,0,0.0172597451160043,0.0158692959867235,0.00342882838784483,0.00976833458015845,0.000487515415584062,0.000219558078231939,0,0.000398913209077824,0.00395124664567527,0,0.00815061646647145
"Sub3","d2","A","Ctl-S",2,0.0290234237228185,0.0438040961164358,0,0.0228410425527961,0.0196151265276619,0.0046009712623994,0.011020760553272,0,0.000430669972230294,0,0.000239215427053271,0.00717074668305715,0,0.00804476833113035
"Sub3","d2","B","Ctl-S",2,0.0329488714952522,0.0482438690159119,0,0.0208296972312988,0.0177664208167914,0.00347770250933067,0.0113567976895617,0,0.000246370802976502,0,0.000330127409493566,0.00627919363438895,0,0.00739523625893495
"Sub3","d2","C","Ctl-S",2,0.0319965389749129,0.0444990365341842,0,0.0127198825132392,0.0114903292271692,0.00447368579253153,0.00928871351752365,0.00062800414410961,0.00058599873490619,0,0.000395158308601449,0.00582908735090115,0,0.0073761737009104
"Sub3","d3","A","Ctl-S",2,0.0395240323921832,0.0537916880386995,0,0.0403275225049207,0.0360709012581952,0.00563296041300205,0.0110890274842241,0,0.00120879428219102,0,0,0.00566145330358445,0,0.0090789258017517
"Sub3","d3","B","Ctl-S",2,0.0367369704433184,0.0491512253753743,0,0.0184133144109346,0.0168939768876365,0.00480744456170565,0.0112143971296361,0,0.000456292103238251,0,0.00012931992296243,0.0056763508481927,0,0.00667392210660565
"Sub3","d3","C","Ctl-S",2,0.0354513840345742,0.044981586079591,0,0.0204145780513517,0.0172158500077119,0.0056024115820899,0.0109703818875787,0,0.000547975196109825,0,0,0.00638979272584165,0,0.00850694613411495
"Sub4","d0","A","Ctl-S",2,0.044129977108321,0.0485333202327043,0,0.0134535461367766,0.0097684862765252,0.00336710408313527,0.0119721368421141,0,0.00143987953319133,0,0,0.00739911356897315,0,0.0128578716352353
"Sub4","d0","B","Ctl-S",2,0.0446719583756778,0.054513544887706,0,0.011054758263752,0.00979868989129965,0.00298902951018386,0.0098556936041043,0,0.00128246378730875,0,0,0.00815155922323075,0,0.0106910564092232
"Sub4","d0","C","Ctl-S",2,0.0436086902008667,0.0455258885881959,0,0.0157123826723411,0.0137918429245486,0.00232762888294727,0.014389988358575,0,0.00147839795980895,0,0,0.0091419468340383,0,0.0174098347211675
"Sub4","d1","A","Ctl-S",2,0.0372938256652984,0.0475735322524635,0,0.0149755540367071,0.0129710492323985,0.0023816295038328,0.0182347295213644,0,0.000835138687776675,0,0,0.0067904530502665,0,0.00730617183071545
"Sub4","d1","B","Ctl-S",2,0.0327584533632228,0.0365071748173109,0,0.00727712890969265,0.00537402334033455,0.00175134175264068,0.0155469413435016,0,0.000456254253673455,0,0,0.0060867547293529,0,0.0053362746873527
"Sub4","d1","C","Ctl-S",2,0.048594544798274,0.059374796672674,0,0.0230084579709201,0.0216417501967181,0.00270316452033435,0.0178929946917776,0.00220409663233731,0.000983038113159985,0,0,0.00750796222944995,0,0.00717460230602115
"Sub4","d2","A","Ctl-S",2,0.0335108905557357,0.0399468261426179,0,0.0061293779565176,0.00547603987869715,0.00154763472115368,0.0139469895175887,0,0.000364554952322034,0,0,0.00433555700316931,0,0.00416146798518665
"Sub4","d2","B","Ctl-S",2,0.0486596658189263,0.0481596971478732,0,0.0090965307540454,0.00874905984739095,0.00243794068118496,0.0238441768646338,0,0,0,0,0.00515451368342925,0,0.0063184204312583
"Sub4","d2","C","Ctl-S",2,0.0352011985168773,0.0423883194384669,0,0.0071314971059969,0.00636994522937485,0.00225252206581624,0.0181985120174267,0,0.000135088376116298,0,0,0.0051495400144363,0,0.00433163608987981
"Sub4","d3","A","Ctl-S",2,0.055977041238331,0.0482246215466073,0,0.0087484898397842,0.00681283622766905,0.00346818663173858,0.0240743794004274,0,0.000299889151497122,0,0,0.0062225260885626,0,0.0059899226846631
"Sub4","d3","B","Ctl-S",2,0.088410207346001,0.061807418025573,0,0.0162359318972059,0.0142963163171629,0.004792099663887,0.0322318575923222,0,0.00056983468897037,0,0,0.0078518625282881,0,0.00809832931707745
"Sub4","d3","C","Ctl-S",2,0.0764963728678515,0.056971118444912,0,0.011777997479824,0.0120785668979138,0.00468646193012786,0.0345499919249283,0,0.00035469412941091,0,0,0.0066901455695416,0,0.0087052317685332
"Sub5","d0","A","Ctl-S",2,0.0260579283417824,0.044162449984561,0,0.0090867492447434,0.00891331464488695,0.0064097959208412,0.020962007004693,0,0.000744403939701525,0,0,0.00529716401509435,0,0.0125228318685538
"Sub5","d0","B","Ctl-S",2,0.0492119423322382,0.0644420238349055,0,0.0266645428103574,0.0209602782506065,0.00914774267619935,0.0249159814123408,0.0010934811318944,0.000683541785812845,0,0.000644532824899975,0.00660429194769915,0,0.0138425261422625
"Sub5","d0","C","Ctl-S",2,0.0257426279079507,0.0412768345071077,0,0.00630495932722555,0.0076370336349646,0.00448367430194673,0.0142401481400422,0,0.00114188969801314,0,0.000190191140938448,0.00352235469092115,0,0.00980251820865975
"Sub5","d1","A","Ctl-S",2,0.0210710657962629,0.0412117716032969,0,0.00719674579830955,0.0071188097628462,0.00381088845820734,0.0214611118355566,0,0.00065742155254045,0,0.000261982041781423,0.0076025808295605,0,0.0126015672689998
"Sub5","d1","B","Ctl-S",2,0.0297264531157334,0.0460316697234417,0,0.0090581923725862,0.0086024567191082,0.0059291373612555,0.0192381250908321,0,0.000447160164810332,0,0.000196763505533947,0.00372351845732596,0,0.00993617324657485
"Sub5","d1","C","Ctl-S",2,0.0272575825880865,0.0463639809229102,0,0.0073407338656271,0.0072949321168772,0.005243240110381,0.0200815452554083,0,0.000511254915484705,0,0,0.00371892911425156,0,0.00671320284869305
"Sub5","d2","A","Ctl-S",2,0.0316969350157923,0.056384677304114,0,0.0098725945414782,0.0099412425471712,0.0068568858305539,0.0191104240139981,0,0.00076068234618958,0,0.000201848071046036,0.0043647114837234,0,0.0097943707349325
"Sub5","d2","B","Ctl-S",2,0.0284084485764409,0.0502980826618705,0,0.00701357684024925,0.006800568087782,0.006032971613855,0.0165394908812893,0,0.000405210424557567,0,0,0.00401893986262048,0,0.009181958742127
"Sub5","d2","C","Ctl-S",2,0.0250699957991542,0.0487173887805391,0,0.0057859808529354,0.00719764409596945,0.00426519726260772,0.0176947640891915,0,0.000507109606669535,0,0,0.00367066788672606,0,0.00224063041937017
"Sub5","d3","A","Ctl-S",2,0.0295183025329431,0.056507067816852,0,0.0138532154008875,0.0107073991261984,0.00618740830368935,0.0233021193934909,0.000747413800129595,0.000995206033896675,0,0,0.00467096077328014,0,0.0104454082391536
