"Subject","Rep","Day","pH","Treat","subj_rep"
"Sub3","C","d1",5.56,"13Bean","Sub3C"
"Sub3","C","d2",5.47,"13Bean","Sub3C"
"Sub3","C","d3",5.5,"13Bean","Sub3C"
"Sub4","A","d0",6.86,"13Bean","Sub4A"
"Sub4","A","d1",5.31,"13Bean","Sub4A"
"Sub4","A","d2",5.58,"13Bean","Sub4A"
"Sub4","A","d3",5.49,"13Bean","Sub4A"
"Sub4","B","d0",6.85,"13Bean","Sub4B"
"Sub4","B","d1",5.31,"13Bean","Sub4B"
"Sub4","B","d2",5.5,"13Bean","Sub4B"
"Sub4","B","d3",5.5,"13Bean","Sub4B"
"Sub4","C","d0",6.81,"13Bean","Sub4C"
"Sub4","C","d1",5.41,"13Bean","Sub4C"
"Sub4","C","d2",5.57,"13Bean","Sub4C"
"Sub4","C","d3",5.58,"13Bean","Sub4C"
"Sub5","A","d0",6.89,"13Bean","Sub5A"
"Sub5","A","d1",5.65,"13Bean","Sub5A"
"Sub5","A","d2",5.71,"13Bean","Sub5A"
"Sub5","A","d3",5.81,"13Bean","Sub5A"
"Sub5","B","d0",6.88,"13Bean","Sub5B"
"Sub5","B","d1",5.6,"13Bean","Sub5B"
"Sub5","B","d2",5.69,"13Bean","Sub5B"
"Sub5","B","d3",5.78,"13Bean","Sub5B"
"Sub5","C","d0",6.87,"13Bean","Sub5C"
"Sub5","C","d1",5.58,"13Bean","Sub5C"
"Sub5","C","d2",5.69,"13Bean","Sub5C"
"Sub5","C","d3",5.77,"13Bean","Sub5C"
"Media only","A","d0",7.14,"CocoFlour","Media onlyA"
"Media only","A","d1",7.14,"CocoFlour","Media onlyA"
"Media only","A","d2",7.19,"CocoFlour","Media onlyA"
"Media only","A","d3",7.13,"CocoFlour","Media onlyA"
"Media only","B","d0",7.09,"CocoFlour","Media onlyB"
"Media only","B","d1",7.1,"CocoFlour","Media onlyB"
"Media only","B","d2",7.16,"CocoFlour","Media onlyB"
"Media only","B","d3",7.11,"CocoFlour","Media onlyB"
"Media only","C","d0",7.09,"CocoFlour","Media onlyC"
"Media only","C","d1",7.09,"CocoFlour","Media onlyC"
"Media only","C","d2",7.15,"CocoFlour","Media onlyC"
"Media only","C","d3",7.1,"CocoFlour","Media onlyC"
"Media & fiber","A","d0",6.98,"CocoFlour","Media & fiberA"
"Media & fiber","A","d1",6.97,"CocoFlour","Media & fiberA"
"Media & fiber","A","d2",7.03,"CocoFlour","Media & fiberA"
"Media & fiber","A","d3",6.99,"CocoFlour","Media & fiberA"
"Media & fiber","B","d0",6.96,"CocoFlour","Media & fiberB"
"Media & fiber","B","d1",6.95,"CocoFlour","Media & fiberB"
"Media & fiber","B","d2",7.03,"CocoFlour","Media & fiberB"
"Media & fiber","B","d3",6.98,"CocoFlour","Media & fiberB"
"Media & fiber","C","d0",6.95,"CocoFlour","Media & fiberC"
"Media & fiber","C","d1",6.94,"CocoFlour","Media & fiberC"
"Media & fiber","C","d2",7.02,"CocoFlour","Media & fiberC"
"Media & fiber","C","d3",6.97,"CocoFlour","Media & fiberC"
"Sub1","A","d0",6.91,"CocoFlour","Sub1A"
"Sub1","A","d1",6.54,"CocoFlour","Sub1A"
"Sub1","A","d2",6.4,"CocoFlour","Sub1A"
"Sub1","A","d3",6.34,"CocoFlour","Sub1A"
"Sub1","B","d0",6.91,"CocoFlour","Sub1B"
"Sub1","B","d1",6.48,"CocoFlour","Sub1B"
"Sub1","B","d2",6.46,"CocoFlour","Sub1B"
"Sub1","B","d3",6.38,"CocoFlour","Sub1B"
"Sub1","C","d0",6.91,"CocoFlour","Sub1C"
"Sub1","C","d1",6.29,"CocoFlour","Sub1C"
"Sub1","C","d2",5.86,"CocoFlour","Sub1C"
"Sub1","C","d3",5.74,"CocoFlour","Sub1C"
"Sub2","A","d0",6.94,"CocoFlour","Sub2A"
"Sub2","A","d1",5.92,"CocoFlour","Sub2A"
"Sub2","A","d2",6.06,"CocoFlour","Sub2A"
"Sub2","A","d3",6.03,"CocoFlour","Sub2A"
"Sub2","B","d0",6.92,"CocoFlour","Sub2B"
"Sub2","B","d1",6.66,"CocoFlour","Sub2B"
"Sub2","B","d2",6.44,"CocoFlour","Sub2B"
