"Day","Subject","Treat","Rep","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"d2","Sub1","MSPrebio","B",7.01308847281445,0,0.0369056143205934,0.0063203671678085,0,0.008566150708352,0.00978950654564755,0,0,0,0,0.0053497268149244,0,0.0564334703141335
"d2","Sub1","MSPrebio","C",6.9171412653277,0,0.0307139531161644,0.00650592537636875,0,0.00918489089383405,0.0096756340178054,0,0,0,0,0.00356787257572931,0,0.0487846822647481
"d3","Sub1","MSPrebio","A",6.4597890434284,0,0.0206434590063388,0,0,0.0102059883733547,0.0107062613500906,0,0,0,0,0.00256062378960474,0,0.0479229806417805
"d3","Sub1","MSPrebio","B",6.29171968151825,0,0.0250731669052911,0,0,0.0115120643146055,0.0105582587564494,0,0,0,0,0.0051473095457079,0,0.0509832312761525
"d3","Sub1","MSPrebio","C",10.1033178299959,0,0.0327625521580386,0,0,0.0110543623354419,0.0124649609185116,0,0,0,0,0.00543781854180385,0,0.0575852967700335
"d0","Sub2","MSPrebio","A",8.95185055726315,0,0.031783941762822,0.00306030668754834,0,0.0071981499002138,0.0180255956679648,0,0,0,0,0.0068456948318931,0,0.0449958032970229
"d0","Sub2","MSPrebio","B",10.6257708065248,0,0.0325339319786141,0.00427246865180903,0,0.00890441018011945,0.0178094766283989,0,0.00179759130611172,0,0,0.00557219269723445,0,0.056917780677998
"d0","Sub2","MSPrebio","C",7.7912618382369,0,0.0259416481114306,0.00432270152822299,0,0.00853908765539085,0.0158165360438989,0,0.00144745347108176,0,0,0.00675047755355945,0,0.0545491144188265
"d1","Sub2","MSPrebio","A",0.268570818927516,0.0755151216635245,0,0.00190248969643124,0,0.00579579306690705,0.0394385078783281,0,0,0,0,0.00327470974160222,0,0.0417549957393858
"d1","Sub2","MSPrebio","B",0.552656060507095,0.118536453293797,0,0,0,0.00738513264383975,0.066712768125352,0,0,0,0,0.00318664491251657,0,0.0587549191116045
"d1","Sub2","MSPrebio","C",0.463193061024056,0.138161588327333,0,0.00333067785143439,0,0.00818674552149495,0.0840602032646645,0,0,0,0,0.0027905094879556,0,0.0683193674966985
"d2","Sub2","MSPrebio","A",1.35155808593279,0.459677165696709,0,0.0089195834392821,0,0.0232035179199006,0.338360277865547,0,0,0,0.00155907095249892,0.0089365716389647,0,0.314575081028117
"d2","Sub2","MSPrebio","B",0.293104618272838,0.112617702878364,0,0,0,0.00786128573591355,0.0777709608388395,0,0,0,0,0.0125297990239333,0,0.059202804675817
"d2","Sub2","MSPrebio","C",0.50222851638109,0.16952062371029,0,0,0,0.0102196017317445,0.121765085536305,0,0,0,0,0.00363464913174546,0,0.099973424686618
"d3","Sub2","MSPrebio","A",0.130109749992035,0.100713085546898,0,0,0,0.0079508948494215,0.0661308550305195,0,0,0,0,0.00263164360148707,0,0.050772437586406
"d3","Sub2","MSPrebio","B",0.17101005133704,0.105566833982273,0,0,0,0.0078198764430239,0.0709215206519415,0,0,0,0,0.00259833752178603,0,0.0451159493703985
"d3","Sub2","MSPrebio","C",0.140266106235735,0.111280903514915,0,0,0,0.0082792047587377,0.079862045414152,0,0,0,0,0.00271959068318057,0,0.0458051113939372
"d0","Sub3","MSPrebio","A",8.98890788775315,0,0.0302662211555835,0.006243511989291,0.0123534729252563,0.0055367839692975,0.0093310655066061,0,0.00137929007423109,0,0,0.00706648275877215,0,0.0450500771165648
"d0","Sub3","MSPrebio","B",10.7673816414153,0,0.030892531232647,0.00571483814357725,0.0106470617715823,0.00692801913293725,0.00969830800603075,0.00198303950343329,0.00315489803415629,0,0,0.00639586766353615,0,0.0415881395966958
"d0","Sub3","MSPrebio","C",7.86020800173705,0,0.0226316205214677,0.005529824610498,0.0127950110165167,0.0064556717295332,0.0098922223613294,0,0.00445309190012278,0,0,0.00666228572646385,0,0.0416549503873404
