"Day","Subject","Treat","Rep","Acetic Acid","Propionic Acid","Butyric Acid","Lactic Acid","Isobutyric Acid","Valeric Acid","IsoValeric Acid","2-MethylButyric Acid","Caproic Acid","2,2-DimethylButyric Acid","2-MethylValeric Acid","3-MethylValeric Acid","4-MethylValeric Acid","Succinic Acid","Indole-3-Propionic Acid","Indole-3-Butyric Acid","indole-3-Acetic Acid","Indole-3-Lactic Acid"
"d1","Sub1","MSPrebio","A",1584.95196173207,420.401710475868,353.684132951552,704.120370908299,0.530082224835327,2.28745520498059,0.890329228487845,0.398614094340274,0,0,0,0,0,93.967432275687,0.0100788795521719,0,0.00460685715577145,0.671448660076238
"d1","Sub1","MSPrebio","B",2121.63225501299,561.202862220168,570.329838387485,802.85514550594,0.586786842893948,2.59280783998061,0.964762968193286,0.459791228995089,0,0,0,0,0,118.839850119456,0.0109470302488687,0,0.00578057268839919,0.859507975643512
"d1","Sub1","MSPrebio","C",1260.85583599618,412.252824808387,377.814237410068,475.243489894322,0.543601669418602,2.4372926751397,0.933959305103471,0.422861466397544,0,0,0,0,0,95.8081134342555,0.0104316814800259,0,0.00543766556755272,0.589934063202538
"d2","Sub1","MSPrebio","A",1739.21402903325,373.902040720668,317.969399838775,609.280372802691,0.646232911983951,2.66467755139542,1.14016271203668,0.486172422140829,0,0,0,0,0,107.458738693963,0.00850247758788665,0,0.00520937276424224,0.405728701489769
"d2","Sub1","MSPrebio","B",1908.29331725195,428.59276988294,426.658069221402,800.006467113387,0.545144816079235,2.47321885101603,1.03544908418392,0.430626848475146,0,0,0,0,0,94.4832114725719,0.00726072866872215,0,0.00556746531768324,0.470637526688158
"d2","Sub1","MSPrebio","C",1910.49354510651,453.963428371195,427.673430845044,598.863687063416,0.700907667611037,2.6942913762485,1.32086100864835,0.547664689403766,0,0,0,0,0,99.7980179331024,0.0108161945198932,0,0.00739213404324509,0.41399121417427
"d3","Sub1","MSPrebio","A",2245.40344247441,772.557803679546,780.682090091511,952.778557822072,0.754612864748795,2.94946442860697,1.26728560796516,0.582895002682217,0,0,0,0,0,99.1120052230976,0.00991288506690283,0,0.00538392674294143,0.286357485447215
"d3","Sub1","MSPrebio","B",1771.92720429338,485.142544607747,522.134338092789,787.589289906365,0.504902661781546,2.04698315009442,0.870704563495672,0.383501104238711,0,0,0,0,0,74.5758362018728,0.00667467169310957,0,0.00475767922197468,0.370205943000307
"d3","Sub1","MSPrebio","C",1678.29657830106,535.344064225048,547.732254360115,651.49222655887,0.618473718833559,2.53695081379726,1.15037908030368,0.516717458138131,0,0,0,0,0,73.8953328478808,0.00841966587175605,0,0.00625062836071361,0.188744001511584
"d0","Sub2","MSPrebio","A",42.8218060647307,31.0239534545666,31.8459685140927,5.15836720156605,1.03477505162398,3.00196802921005,1.18785036323111,0.828160909956803,2.43881798978508,0,0,0,0,7.36165414970641,0.00624087414062574,0,0.0133499079417235,0.0614727713624214
